Direccion,Precio,UF,m2_Construidos,m2_totales,Habitaciones,Banos,Estacionamientos,Publi
"Santiago, Carmen 159",114000000,3273.698,100,100,3,2,0,21/03/2023
"Las Condes, Av. Manquehue Nte. 69",156703500,4500.0,45,45,1,1,1,20/03/2023
"Quinta Normal, Gral. Barbosa 1149",75000000,2153.749,37,37,1,1,0,20/03/2023
"La Florida, Pudeto, La Florida",65815470,1890.0,31,31,1,1,0,20/03/2023
"Ñuñoa, Matta Ote. 849",182820750,5250.0,74,74,2,2,1,20/03/2023
"Estación Central, Avenida Padre Alberto Hurtado",75000000,2153.749,62,62,3,2,0,20/03/2023
"San Joaquín, Sta. Rosa 2648",66163700,1900.0,46,46,2,1,0,20/03/2023
"Las Condes, C. San José de La Sierra 93",170632700,4900.0,0,0,1,1,0,19/03/2023
"Ñuñoa, José Domingo Cañas 1727",244805690,7030.0,110,110,3,2,1,19/03/2023
"Cerrillos, Folklore Chileno 2227",38061539,1093.0,42,42,2,1,0,19/03/2023
"San Bernardo, María Graham",35000000,1005.083,45,45,2,1,0,18/03/2023
"La Florida, San José de la Estrella",70000000,2010.166,54,54,3,1,0,18/03/2023
"Independencia, Colón",80000000,2297.332,43,43,3,1,0,18/03/2023
"Recoleta, Gabriel Palma",90000000,2584.499,53,53,3,1,0,18/03/2023
"La Florida, Atahualpa 235",134068550,3850.0,80,80,3,2,1,18/03/2023
"Ñuñoa, Metro Irarrázaval",173766770,4990.0,0,0,3,2,1,17/03/2023
"Cerrillos, Cerrillos",55000000,1579.416,60,60,2,1,0,17/03/2023
"Santiago, Cóndor 1107",69646000,2000.0,36,36,1,1,0,17/03/2023
"Recoleta, Alberto Figueroa 440",135809700,3900.0,60,60,3,2,1,17/03/2023
"Santiago, Amunátegui 695",107951300,3100.0,58,58,2,2,0,17/03/2023
"Independencia, Nueva Andrés Bello 1890",66163700,1900.0,31,31,1,1,0,17/03/2023
"Santiago, Herrera 1127",80092900,2300.0,75,75,3,1,0,17/03/2023
"San Miguel, C. San Ignacio de Loyola 4850",161926950,4650.0,73,73,3,2,1,17/03/2023
"San Miguel, Quinta Avenida 1270",115000000,3302.415,57,57,2,2,0,17/03/2023
"Ñuñoa, Av. Grecia 4401",215000000,6174.08,83,83,3,2,1,17/03/2023
"Ñuñoa, Fernández Concha 270",168996019,4853.0,71,71,3,2,1,17/03/2023
"Santiago, Merced 356",80092900,2300.0,34,34,1,1,0,16/03/2023
"Providencia, Bustos",260824270,7490.0,83,83,2,2,1,16/03/2023
"Santiago, Eleuterio Ramírez 825",149738900,4300.0,50,50,2,2,1,16/03/2023
"Ñuñoa, Brown norte 609",170632700,4900.0,60,60,2,2,0,16/03/2023
"Providencia, Padre Restrepo 2667",205455700,5900.0,66,66,2,2,1,16/03/2023
"Santiago, Echaurren 340",161578720,4640.0,74,74,3,2,1,15/03/2023
"Vitacura, Autop. Av. Pdte. Kennedy 4938",201973400,5800.0,55,55,2,2,1,15/03/2023
"San Miguel, Milán , San Miguel",104469000,3000.0,48,48,1,2,1,15/03/2023
"Santiago, Lord Cochrane 635",60000000,1722.999,30,30,1,1,0,15/03/2023
"El Bosque, Pje. Nuevo Horizonte 1001",36000000,1033.8,48,48,2,1,0,14/03/2023
"Las Condes, Nansen",14300,0.411,163,163,3,3,1,14/03/2023
"Pudahuel, Condominio Villa Del Sol - Etapa 1",118000000,3388.565,76,76,3,2,1,14/03/2023
"Macul, Avenida Américo Vespucio",103000000,2957.815,60,60,2,2,2,14/03/2023
"Providencia, Galvarino Gallardo",383053000,11000.0,131,131,4,3,1,14/03/2023
"La Cisterna, Gran Avenida metro El Parrón",123099305,3535.0,80,80,3,1,1,14/03/2023
"Ñuñoa, Salvador Sur, Grecia",155000000,4451.081,95,95,3,2,0,14/03/2023
"Las Condes, La Niña 3020",261172500,7500.0,95,95,2,2,2,13/03/2023
"Las Condes, Av. Cristóbal Colón 5010",295000000,8471.413,112,112,3,2,1,13/03/2023
"Huechuraba, Alberto Undurraga",264654800,7600.0,140,140,3,3,1,13/03/2023
"Ñuñoa, José Domingo Cañas",139000000,3991.615,56,56,2,1,1,13/03/2023
"Quinta Normal, Andes 4446",60000000,1722.999,46,46,2,1,0,13/03/2023
"Santiago, Catedral 1350",156703500,4500.0,85,85,2,2,1,13/03/2023
"San Miguel, Segunda Avenida 1179",137550850,3950.0,76,76,3,2,1,12/03/2023
"La Reina, Blest gana",207196850,5950.0,64,64,2,2,1,12/03/2023
"La Florida, Av. Vicuña Mackenna Ote. 6187",116657050,3350.0,60,60,2,2,1,11/03/2023
"Independencia, Carlos Medina",78351750,2250.0,60,60,5,1,0,11/03/2023
"Vitacura, Portada de Vitacura vista cordillera",195008800,5600.0,85,85,1,1,1,11/03/2023
"Macul, Los olmos",115000000,3302.415,54,54,2,2,1,10/03/2023
"Maipú, Avenida Segunda Transversal",82000000,2354.766,45,45,3,1,1,10/03/2023
"Independencia, gamero",77000000,2211.182,54,54,2,1,0,10/03/2023
"Ñuñoa, Crescente Errazuriz",167150400,4800.0,69,69,2,2,1,10/03/2023
"Santiago, Rosas & Amunátegui",78351750,2250.0,31,31,1,1,0,10/03/2023
"Santiago, Lira & Argomedo",87057500,2500.0,38,38,1,1,0,10/03/2023
"La Cisterna, Av. Goycolea 496",70000000,2010.166,49,49,3,1,0,10/03/2023
"Ñuñoa, José Domingo Cañas",203714550,5850.0,75,75,2,2,2,07/03/2023
"Santiago, Huérfanos 1400",121358155,3485.0,70,70,3,2,1,06/03/2023
"La Florida, Maria Elena 1275",49000000,1407.116,50,50,2,1,0,06/03/2023
"Maipú, Dinamarca 1557",60000000,1722.999,45,45,2,1,0,06/03/2023
"Santiago, Av. Manuel Rodríguez 867",77307060,2220.0,35,35,1,1,1,06/03/2023
"Santiago, Conde del Maule 4603, 9170357 Santiago, Estación Central, Región Metropolitana",58641016,1683.974,24,24,1,1,1,05/03/2023
"Providencia, Tobalaba 4191",226389863,6501.159,64,64,2,2,1,05/03/2023
"Recoleta, Los Flamencos",68000000,1952.732,56,56,3,1,1,05/03/2023
"Recoleta, Los Flamencos",68000000,1952.732,56,56,3,1,0,05/03/2023
"Santiago, Avenida vicuña mackenna",95763250,2750.0,46,46,2,1,0,04/03/2023
"Peñalolén, Alvaro Casanova Poniente",522345000,15000.0,289,289,4,4,2,03/03/2023
"Ñuñoa, Dublé Almeyda",212420300,6100.0,95,95,2,2,1,03/03/2023
"Ñuñoa, Avenida Irarrázaval",187695970,5390.0,52,52,2,2,1,03/03/2023
"Santiago, Lord Cochrane",120000000,3445.998,0,0,3,2,0,03/03/2023
"Santiago, Ramón Corvalán Melgarejo",103000000,2957.815,0,0,2,1,0,03/03/2023
"Santiago, Lord Cochrane",102832319,2953.0,0,0,2,2,0,03/03/2023
"Santiago, Morandé 626",87057500,2500.0,35,35,1,1,0,02/03/2023
"Vitacura, Joaquín Cerda",494486600,14200.0,180,180,4,4,2,02/03/2023
"Ñuñoa, Av. Salvador 2940",228090650,6550.0,105,105,4,3,1,02/03/2023
"La Florida, Colombia 7000",94000000,2699.365,60,60,2,1,1,02/03/2023
"Ñuñoa, Teniente Montt",229831800,6600.0,72,72,2,2,1,02/03/2023
"Santiago, Pdte. Balmaceda 2088",65000000,1866.582,36,36,1,1,0,02/03/2023
"Providencia, Av. Condell 1807",194660570,5590.0,76,76,2,2,1,01/03/2023
"San Joaquín, Avenida Santa Rosa",64000000,1837.866,44,44,2,1,0,01/03/2023
"Santiago, Catedral",100986700,2900.0,48,48,1,1,0,01/03/2023
"Santiago, Manuel Antonio Tocornal",142774300,4100.0,71,71,3,2,1,01/03/2023
"Las Condes, Mar del Sur 1117",358676900,10300.0,147,147,4,3,1,28/02/2023
"Ñuñoa, San Eugenio 1551",132327400,3800.0,52,52,2,2,1,28/02/2023
"Santiago, Santo Domingo 4047",102727850,2950.0,54,54,2,2,0,28/02/2023
"Santiago, Av. Rondizzoni 1856",90191570,2590.0,60,60,2,2,0,28/02/2023
"Santiago, Sta. Elena 898",77307060,2220.0,34,34,1,1,0,27/02/2023
"Santiago, Estación Central",76610600,2200.0,35,35,1,1,0,26/02/2023
"Recoleta, Diagonal José María Caro",119000000,3417.282,75,75,3,2,0,25/02/2023
"Quinta Normal, Radal 1225, Blanqueado, Quinta Normal",78751280,2261.473,43,43,2,1,1,25/02/2023
"Santiago, Santo Domingo - Teatinos",115000000,3302.415,61,61,2,2,1,24/02/2023
"La Reina, Blest gana",219384900,6300.0,70,70,2,2,1,24/02/2023
"Quinta Normal, Radal 1225, Blanqueado, Quinta Normal",84754740,2433.872,53,53,3,1,1,24/02/2023
"Independencia, Padre José Cifuentes Grez 864",67904850,1950.0,32,32,1,1,0,24/02/2023
"Conchalí, Vecinal 1636",56637914,1626.451,30,30,1,1,1,24/02/2023
"Macul, Av. Escuela Agrícola 1710",81485820,2340.0,39,39,1,1,0,24/02/2023
"Providencia, Av. Los Leones, Providencia, Región Metropolitana, Chile",393499900,11300.0,192,192,4,3,2,22/02/2023
"Quilicura, Parroquia Jesús Obrero 527",45000000,1292.249,46,46,3,1,0,21/02/2023
"Vitacura, Portada de Vitacura vista cordillera",195008800,5600.0,85,85,1,1,1,21/02/2023
"San Miguel, El Llano terraza privada",347881770,9990.0,175,175,3,2,2,21/02/2023
"Santiago, Santiago",88000000,2527.065,55,55,2,1,0,21/02/2023
"Providencia, Av. Ricardo Lyon 2107",330818500,9500.0,84,84,2,2,0,21/02/2023
"San Miguel, Av. Salesianos 1160",111085370,3190.0,40,40,1,1,0,20/02/2023
"Ñuñoa, Julio Prado",181079600,5200.0,71,71,2,2,1,20/02/2023
"Santiago, Raulí 596",81137590,2330.0,34,34,1,1,0,20/02/2023
"Las Condes, Rodrigo de Triana 4333",344747700,9900.0,130,130,3,3,1,19/02/2023
"Estación Central, Cercano a Metro Pajaritos",95000000,2728.082,44,44,2,1,0,17/02/2023
"San Miguel, Cercano a Av. José miguel carrera",170632700,4900.0,75,75,3,2,1,17/02/2023
"Quilicura, A pasos de Lo Marcoleta y Supermercado",68000000,1952.732,60,60,2,2,0,16/02/2023
"Santiago, Entre San Pablo y Gral. Mackenna",112500000,3230.623,62,62,2,2,0,16/02/2023
"Quinta Normal, Mapocho // Radal",55020340,1580.0,50,50,3,1,0,16/02/2023
"Providencia, Rancagua//seminario",2089380000,60000.0,1200,1200,10,5,11,16/02/2023
"San Miguel, Los Castaños, San Miguel, Region Metropolitana",89000000,2555.782,35,35,1,1,1,16/02/2023
"San Miguel, Alcalde Pedro Alarcón 851",146256600,4200.0,74,74,3,2,1,15/02/2023
"Santiago, Coquimbo 56",92280950,2650.0,48,48,3,1,0,15/02/2023
"Santiago, Bezanilla",100000000,2871.665,50,50,2,1,1,15/02/2023
"Santiago, Santo Domingo 1243",53975650,1550.0,0,0,1,1,0,14/02/2023
"Estación Central, Sta. Petronila 28",78351750,2250.0,35,35,1,1,0,14/02/2023
"Santiago, Carmen 390",69646000,2000.0,28,28,1,1,0,12/02/2023
"La Cisterna, Colón 6479, metro Lo Ovalle",70000000,2010.166,50,50,3,1,0,10/02/2023
"Santiago, Lord Cochrane 209, Santiago, Chile sin comisión",85000000,2440.915,37,37,1,1,1,10/02/2023
"Ñuñoa, Av. Sucre con Manuel Montt",181079600,5200.0,57,57,2,2,1,10/02/2023
"Ñuñoa, Sucre con Manuel Montt",195008800,5600.0,67,67,2,2,1,10/02/2023
"La Cisterna, Gran Avenida, metro el Parrón",123099305,3535.0,80,80,3,1,1,10/02/2023
"Las Condes, Brasilia 750",449216700,12900.0,173,173,4,3,2,07/02/2023
"Ñuñoa, Av. Irarrázaval 2150",118398200,3400.0,40,40,1,1,0,01/02/2023
"El Bosque, General Körner",78900000,2265.744,55,55,3,1,1,01/02/2023
"Vitacura, Vía aurora",881021900,25300.0,253,253,4,4,4,31/01/2023
"Santiago, Amunátegui 890",74869450,2150.0,34,34,1,1,0,31/01/2023
"Providencia, Pedro de Valdivia",84585067,2429.0,32,32,1,1,0,30/01/2023
"Estación Central, Conde del Maule",82878740,2380.0,38,38,1,1,1,28/01/2023
"Providencia, Doctor Roberto del Río",316889300,9100.0,120,120,3,2,1,26/01/2023
"Santiago, San Antonio 418",200000000,5743.331,110,110,3,2,0,24/01/2023
"San Miguel, Berlín 843",107603070,3090.0,59,59,2,1,1,23/01/2023
"Santiago, Diagonal Vicuña Mackenna",97990000,2813.945,34,34,1,1,1,20/01/2023
"Independencia, Gamero",80092900,2300.0,54,54,3,1,1,20/01/2023
